Date,GLD,QQQ,SPY,TLT
2018-01-02,125.1500015258789,150.7799835205078,238.56871032714844,102.8239974975586
2018-01-03,124.81999969482422,152.2449951171875,240.07766723632812,103.31561279296875
2018-01-04,125.45999908447266,152.5113983154297,241.0895538330078,103.29918670654297
2018-01-05,125.33000183105469,154.04306030273438,242.69625854492188,103.00422668457031
2018-01-08,125.30999755859375,154.64247131347656,243.14002990722656,102.9386978149414
2018-01-09,124.7300033569336,154.65196228027344,243.69036865234375,101.56214141845703
2018-01-10,125.02999877929688,154.2904510498047,243.31764221191406,101.43927001953125
2018-01-11,125.44000244140625,155.34646606445312,245.0928192138672,101.85708618164062
2018-01-12,126.95999908447266,156.48806762695312,246.6905517578125,102.0291976928711
2018-01-16,127.16999816894531,156.04092407226562,245.84727478027344,102.45525360107422
2018-01-17,126.13999938964844,157.7248077392578,248.19070434570312,102.31600952148438
2018-01-18,125.86000061035156,157.75338745117188,247.77352905273438,101.365478515625
2018-01-19,126.41999816894531,158.24807739257812,248.90077209472656,100.8328857421875
2018-01-22,126.6500015258789,159.94140625,250.924560546875,100.93120574951172
2018-01-23,127.27999877929688,161.26385498046875,251.45724487304688,101.365478515625
2018-01-24,128.8300018310547,160.2173309326172,251.35952758789062,100.8165054321289
2018-01-25,127.97000122070312,160.1602325439453,251.46604919433594,101.64405822753906
2018-01-26,128.07000732421875,162.6147918701172,254.37747192382812,101.26714324951172
2018-01-29,127.3499984741211,161.82510375976562,252.6908721923828,100.56250762939453
2018-01-30,126.80000305175781,160.49327087402344,250.09910583496094,99.97254180908203
2018-01-31,127.6500015258789,161.1591796875,250.22340393066406,100.56250762939453
2018-02-01,128.07000732421875,159.78932189941406,249.9392547607422,99.10504150390625
2018-02-02,126.38999938964844,156.6022491455078,244.49813842773438,98.18543243408203
2018-02-05,126.70999908447266,150.427978515625,234.27259826660156,99.11328125
2018-02-06,125.37999725341797,154.4141387939453,238.88827514648438,98.49744415283203
2018-02-07,124.79000091552734,152.41627502441406,237.59237670898438,97.56141662597656
2018-02-08,124.9800033569336,145.98507690429688,228.68051147460938,97.4546890258789
2018-02-09,124.7699966430664,148.50625610351562,232.11569213867188,96.83889770507812
2018-02-12,125.37000274658203,151.14146423339844,235.52413940429688,97.26580810546875
2018-02-13,126.08000183105469,151.92153930664062,236.10995483398438,97.70101928710938
2018-02-14,128.22999572753906,154.76609802246094,239.29660034179688,96.6171875
2018-02-15,128.3800048828125,157.63919067382812,242.35003662109375,96.94560241699219
2018-02-16,127.95999908447266,156.93521118164062,242.4210205078125,97.47108459472656
2018-02-20,126.23999786376953,157.24913024902344,240.9031982421875,97.04415893554688
2018-02-21,125.66000366210938,156.80203247070312,239.7049102783203,95.85355377197266
2018-02-22,126.30000305175781,156.782958984375,240.01551818847656,96.14091491699219
2018-02-23,126.13999938964844,159.98899841308594,243.8412628173828,96.99488830566406
2018-02-26,126.44999694824219,162.11056518554688,246.6727752685547,97.02774047851562
2018-02-27,125.12999725341797,160.10317993164062,243.5926513671875,96.88815307617188
2018-02-28,125.0,159.0757293701172,241.12510681152344,97.5039291381836
2018-03-01,124.72000122070312,156.4785614013672,237.6189727783203,98.16957092285156
2018-03-02,125.38999938964844,157.91513061523438,238.8439483642578,97.37150573730469
2018-03-05,125.18000030517578,159.66561889648438,241.6044464111328,97.10822296142578
2018-03-06,126.52999877929688,160.34104919433594,242.2168731689453,97.19873809814453
2018-03-07,125.72000122070312,160.7120361328125,242.12811279296875,97.09175872802734
2018-03-08,125.41999816894531,161.59683227539062,243.29991149902344,97.65121459960938
2018-03-09,125.54000091552734,164.73629760742188,247.53387451171875,97.00949096679688
2018-03-12,125.54000091552734,165.61155700683594,247.22315979003906,97.5689697265625
2018-03-13,125.77999877929688,163.35684204101562,245.62542724609375,98.0626220703125
2018-03-14,125.69999694824219,163.32827758789062,244.36500549316406,98.92646026611328
2018-03-15,124.9000015258789,163.1855926513672,244.0987091064453,98.92646026611328
2018-03-16,124.5999984741211,162.700439453125,244.36338806152344,98.57268524169922
2018-03-19,124.87000274658203,159.22901916503906,241.05703735351562,98.26005554199219
2018-03-20,124.30999755859375,159.7530975341797,241.46701049804688,97.86518096923828
2018-03-21,126.4800033569336,159.0574951171875,241.00355529785156,97.97207641601562
2018-03-22,125.9800033569336,155.13156127929688,234.97918701171875,98.94294738769531
2018-03-23,127.61000061035156,151.04367065429688,229.97067260742188,98.86888885498047
2018-03-26,128.27999877929688,156.6562042236328,236.26242065429688,98.49040222167969
2018-03-27,127.48999786376953,151.5867919921875,232.24319458007812,99.54352569580078
2018-03-28,125.7300033569336,149.84295654296875,231.55697631835938,99.80679321289062
2018-03-29,125.79000091552734,152.5873260498047,234.5157470703125,100.29222869873047
2018-04-02,127.26000213623047,148.1848907470703,229.4538116455078,100.49008178710938
2018-04-03,126.30000305175781,149.85247802734375,232.39476013183594,99.71509552001953
2018-04-04,126.44999694824219,152.21568298339844,234.881103515625,99.50897979736328
2018-04-05,125.80000305175781,153.08282470703125,236.7347869873047,98.76689147949219
2018-04-06,126.38999938964844,149.25216674804688,231.4590301513672,99.84703063964844
2018-04-09,126.81999969482422,150.3003387451172,232.59971618652344,100.01188659667969
2018-04-10,127.12000274658203,153.61647033691406,236.29818725585938,99.83049774169922
2018-04-11,128.11000061035156,152.7302703857422,235.0594024658203,100.18505859375
2018-04-12,126.62000274658203,154.5693359375,236.9932403564453,99.45120239257812
2018-04-13,127.44999694824219,153.7689208984375,236.29818725585938,99.68207550048828
